t_s,vdc_v,idc_a,i_gen_a,i_load_a,i_fault_a,v_pos_gnd_v,v_neg_gnd_v
0.42445,1506.22813740086,2179.99853716396,2419.51610301717,2179.99853716396,0,753.114068700431,-753.114068700431
0.4245,1506.22797808333,2179.99853976652,2419.51055631603,2179.99853976652,0,753.113989041664,-753.113989041664
0.42455,1506.22781877019,2179.99854236474,2419.5050097622,2179.99854236474,0,753.113909385096,-753.113909385096
0.4246,1506.22765946145,2179.99854495864,2419.4994633557,2179.99854495864,0,753.113829730727,-753.113829730727
0.42465,1506.22750015711,2179.99854754821,2419.49391709651,2179.99854754821,0,753.113750078557,-753.113750078557
0.4247,1506.22734085717,2179.99855013348,2419.48837098464,2179.99855013348,0,753.113670428586,-753.113670428586
0.42475,1506.22718156163,2179.99855271444,2419.48282502008,2179.99855271444,0,753.113590780814,-753.113590780814
0.4248,1506.22702227048,2179.9985552911,2419.47727920282,2179.9985552911,0,753.11351113524,-753.11351113524
0.42485,1506.22686298373,2179.99855786347,2419.47173353287,2179.99855786347,0,753.113431491864,-753.113431491864
0.4249,1506.22670370137,2179.99856043156,2419.46618801022,2179.99856043156,0,753.113351850686,-753.113351850686
0.42495,1506.22654442341,2179.99856299537,2419.46064263487,2179.99856299537,0,753.113272211705,-753.113272211705
0.425,1506.22638514985,2179.99856555491,2419.45509740681,2179.99856555491,0,753.113192574923,-753.113192574923
0.42505,1506.22622588068,2179.99856811019,2419.44955232604,2179.99856811019,0,753.113112940338,-753.113112940338
0.4251,1506.2260666159,2179.99857066121,2419.44400739256,2179.99857066121,0,753.11303330795,-753.11303330795
0.42515,1506.22590735552,2179.99857320798,2419.43846260636,2179.99857320798,0,753.112953677759,-753.112953677759
0.4252,1506.22574809953,2179.99857575052,2419.43291796745,2179.99857575052,0,753.112874049765,-753.112874049765
0.42525,1506.22558884793,2179.99857828882,2419.42737347581,2179.99857828882,0,753.112794423967,-753.112794423967
0.4253,1506.22542960073,2179.99858082289,2419.42182913145,2179.99858082289,0,753.112714800367,-753.112714800367
0.42535,1506.22527035792,2179.99858335274,2419.41628493436,2179.99858335274,0,753.112635178962,-753.112635178962
0.4254,1506.22511111951,2179.99858587838,2419.41074088453,2179.99858587838,0,753.112555559754,-753.112555559754
0.42545,1506.22495188548,2179.99858839982,2419.40519698198,2179.99858839982,0,753.112475942741,-753.112475942741
0.4255,1506.22479265585,2179.99859091705,2419.39965322668,2179.99859091705,0,753.112396327924,-753.112396327924
0.42555,1506.22463343061,2179.9985934301,2419.39410961864,2179.9985934301,0,753.112316715303,-753.112316715303
0.4256,1506.22447420976,2179.99859593896,2419.38856615786,2179.99859593896,0,753.112237104878,-753.112237104878
0.42565,1506.22431499329,2179.99859844364,2419.38302284433,2179.99859844364,0,753.112157496647,-753.112157496647
0.4257,1506.22415578122,2179.99860094415,2419.37747967805,2179.99860094415,0,753.112077890612,-753.112077890612
0.42575,1506.22399657354,2179.99860344049,2419.37193665901,2179.99860344049,0,753.111998286771,-753.111998286771
0.4258,1506.22383737025,2179.99860593268,2419.36639378721,2179.99860593268,0,753.111918685125,-753.111918685125
0.42585,1506.22367817135,2179.99860842072,2419.36085106266,2179.99860842072,0,753.111839085674,-753.111839085674
0.4259,1506.22351897683,2179.99861090461,2419.35530848534,2179.99861090461,0,753.111759488416,-753.111759488416
0.42595,1506.22335978671,2179.99861338437,2419.34976605525,2179.99861338437,0,753.111679893353,-753.111679893353
0.426,1506.22320060097,2179.99861586,2419.34422377239,2179.99861586,0,753.111600300484,-753.111600300484
0.42605,1506.22304141962,2179.99861833151,2419.33868163675,2179.99861833151,0,753.111520709809,-753.111520709809
0.4261,1506.22288224265,2179.9986207989,2419.33313964834,2179.9986207989,0,753.111441121327,-753.111441121327
0.42615,1506.22272307008,2179.99862326218,2419.32759780715,2179.99862326218,0,753.111361535038,-753.111361535038
0.4262,1506.22256390189,2179.99862572136,2419.32205611317,2179.99862572136,0,753.111281950943,-753.111281950943
0.42625,1506.22240473808,2179.99862817644,2419.31651456641,2179.99862817644,0,753.111202369041,-753.111202369041
0.4263,1506.22224557866,2179.99863062744,2419.31097316686,2179.99863062744,0,753.111122789331,-753.111122789331
0.42635,1506.22208642363,2179.99863307435,2419.30543191451,2179.99863307435,0,753.111043211814,-753.111043211814
